Skill_Name,Job_Demand,Student_Count,Job_Demand_Percent,Student_Skill_Percent,Skill_Gap,Priority
Communication,3,0.0,20.0,0.0,20.0,High
SQL,13,14.0,86.66666666666667,70.0,16.66666666666667,Medium
Problem Solving,3,2.0,20.0,10.0,10.0,Medium
C++,3,2.0,20.0,10.0,10.0,Medium
Data Visualization,2,1.0,13.333333333333334,5.0,8.333333333333334,Low
Tableau,2,1.0,13.333333333333334,5.0,8.333333333333334,Low
Git & GitHub,4,4.0,26.666666666666668,20.0,6.666666666666668,Low
JavaScript,1,0.0,6.666666666666667,0.0,6.666666666666667,Low
Machine Learning,1,1.0,6.666666666666667,5.0,1.666666666666667,Low
HTML CSS,1,1.0,6.666666666666667,5.0,1.666666666666667,Low
Java,5,7.0,33.33333333333333,35.0,-1.6666666666666714,Low
Power BI,7,10.0,46.666666666666664,50.0,-3.3333333333333357,Low
Python,6,10.0,40.0,50.0,-10.0,Low
Excel,8,13.0,53.333333333333336,65.0,-11.666666666666664,Low
